Round,SelectedClients
86,1 2 5 7 0
87,3 6 2 8 9
88,8 6 1 5 2
89,8 3 7 1 9
90,3 7 5 9 4
91,7 9 1 0 2
92,0 5 1 4 2
93,0 8 6 4 7
94,4 5 0 3 9
95,5 3 4 8 7
96,5 9 7 6 4
97,5 0 3 6 2
98,1 4 3 6 7
99,5 7 6 2 1
100,2 8 0 1 6
101,9 1 3 2 7
102,3 8 1 5 7
103,4 3 1 6 8
104,0 7 6 8 1
105,9 2 8 4 5
106,9 0 4 7 1
107,6 4 8 0 3
108,8 3 7 2 9
109,9 7 6 0 8
110,9 3 7 0 4
111,1 8 4 9 0
112,0 3 6 2 1
113,6 1 4 7 9
114,0 6 1 5 8
115,1 7 8 4 2
116,2 7 9 1 5
117,4 9 2 1 6
118,8 3 5 4 2
119,4 9 3 1 2
120,8 6 5 2 0
121,1 2 7 4 5
122,5 9 8 7 3
123,8 3 6 1 5
124,8 9 7 0 2
125,3 4 2 8 0
126,4 1 7 2 8
127,6 0 7 4 2
128,2 4 0 9 5
129,6 7 2 0 1
130,7 8 4 6 1
131,0 1 2 8 4
132,2 1 4 0 5
133,2 7 0 3 5
134,5 9 1 2 8
135,0 8 5 9 4
136,5 6 8 4 9
137,2 8 6 4 5
138,6 3 0 4 7
139,4 8 7 3 0
140,5 9 2 6 8
141,2 1 4 7 9
142,0 3 7 4 2
143,6 7 4 0 2
144,1 4 7 5 3
145,1 3 0 2 5
146,4 1 5 6 3
147,7 2 1 9 0
148,2 9 8 1 7
149,4 5 2 3 1
150,3 6 1 7 0
151,7 3 8 1 9
152,4 8 7 0 1
153,6 2 5 4 8
154,5 2 3 1 0
155,9 8 0 7 4
156,2 1 9 5 7
157,3 6 7 9 8
158,3 2 0 8 7
159,8 2 1 9 0
160,3 7 1 0 8
161,2 8 4 5 9
162,3 6 9 5 1
163,5 4 3 2 9
164,2 0 7 6 1
165,5 9 0 3 1
166,5 7 6 2 0
167,1 4 9 0 5
168,8 7 4 5 9
169,7 1 0 3 9
170,5 8 9 2 7
171,4 1 5 9 7
172,9 5 3 0 6
173,1 5 3 2 6
174,8 2 6 4 7
175,9 0 2 5 8
176,6 9 0 8 3
177,5 9 8 6 1
178,2 0 6 8 9
179,8 6 4 3 5
180,0 5 2 4 1
181,8 7 9 3 2
182,3 1 8 4 6
183,7 5 6 4 3
184,2 3 5 1 4
185,0 7 9 3 4
186,9 2 0 3 1
187,4 1 5 6 8
188,6 1 8 4 5
189,5 4 8 2 0
190,8 9 4 6 7
191,2 4 6 8 7
192,7 2 3 1 8
193,0 6 8 7 3
194,5 3 7 4 2
195,5 6 9 1 4
196,9 8 5 2 0
197,4 5 8 2 7
198,2 3 5 1 4
199,7 1 5 3 9
200,8 7 3 2 0
201,6 0 2 1 7
202,8 2 6 3 5
203,8 3 0 6 1
204,6 3 0 8 4
205,9 3 5 6 0
206,1 5 6 0 2
207,4 3 1 5 2
208,1 4 8 6 7
209,1 8 9 0 2
210,0 9 4 7 8
211,2 0 6 8 3
212,0 9 2 7 5
213,6 5 3 8 0
214,6 9 2 0 8
215,7 6 1 9 5
216,8 2 9 7 0
217,5 3 8 0 9
218,1 2 8 5 6
219,5 7 4 2 8
220,3 6 4 8 0
221,3 4 5 6 8
222,5 0 6 4 3
223,8 7 5 1 9
224,0 6 1 4 3
225,5 7 1 3 2
226,0 1 2 4 5
227,4 2 0 8 6
228,9 4 2 1 8
229,6 3 7 9 2
230,3 2 1 4 0
231,3 4 0 8 2
232,3 4 5 1 9
233,2 5 7 0 1
234,7 9 6 2 3
235,7 0 9 2 6
236,8 9 7 4 1
237,0 4 9 5 7
238,8 6 3 1 5
239,0 2 7 8 4
240,3 7 4 1 0
241,2 3 6 9 8
242,1 8 2 7 9
243,9 2 8 1 0
244,6 7 2 4 9
245,1 5 4 8 6
246,5 1 4 3 0
247,7 0 4 9 1
248,6 8 3 9 1
249,0 2 3 8 1
250,8 9 5 3 4
251,7 8 0 6 4
252,9 7 4 6 3
253,8 0 7 6 2
254,9 0 5 3 8
255,5 7 8 1 4
256,8 1 6 2 9
257,7 9 6 8 0
258,6 4 2 0 1
259,8 5 4 9 1
260,5 6 2 0 9
261,2 4 1 8 6
262,3 5 4 9 8
263,7 2 4 8 5
264,5 7 3 1 0
265,6 9 0 7 5
266,1 0 5 8 2
267,2 9 5 1 3
268,6 7 3 4 2
269,8 7 3 1 9
270,2 7 3 9 1
271,3 5 8 9 0
272,0 9 8 4 6
273,1 2 6 5 3
274,3 2 8 5 9
275,8 7 2 5 6
276,6 4 0 2 3
277,8 6 9 7 3
278,1 5 7 8 3
279,8 6 2 1 4
280,0 4 1 7 3
281,1 8 3 6 4
282,0 9 3 8 2
283,2 9 8 3 4
284,6 0 1 5 9
285,9 5 4 2 8
286,8 6 9 3 2
287,5 8 2 9 6
288,8 9 7 2 1
289,7 2 9 1 5
290,0 4 5 9 3
291,3 9 4 8 7
292,3 9 6 7 4
293,3 5 8 4 6
294,6 4 5 2 9
295,4 8 3 5 9
296,3 8 5 9 0
297,0 5 3 7 8
298,8 7 1 2 4
299,1 0 7 2 4
300,3 6 2 1 0
301,6 4 3 7 5
302,7 5 3 0 2
303,5 8 2 0 6
304,4 5 9 6 0
305,8 1 3 9 0
306,5 2 0 7 3
307,0 1 9 6 2
308,4 2 8 6 3
309,7 0 2 3 6
310,7 3 4 5 2
311,9 6 0 5 1
312,5 6 0 7 3
313,2 3 8 1 6
314,1 2 8 9 0
315,8 4 6 7 5
316,0 1 9 5 4
317,8 5 6 9 2
318,1 7 4 0 8
319,9 1 0 4 6
320,6 2 5 0 9
321,6 5 7 4 9
322,3 7 4 9 6
323,4 8 2 0 5
324,9 6 3 7 4
325,6 4 1 8 9
326,0 7 2 1 8
327,9 4 3 0 1
328,4 6 3 8 5
329,3 9 1 2 6
330,9 7 8 0 4
331,4 7 8 0 9
332,0 1 3 4 6
333,5 3 9 4 7
334,4 7 9 3 5
335,6 7 9 8 2
336,5 7 6 9 8
337,9 1 5 6 7
338,2 8 7 6 0
339,9 3 2 4 8
340,9 3 6 2 0
341,6 0 8 1 9
342,1 7 6 3 4
343,3 6 9 7 1
344,7 6 0 8 1
345,1 5 6 7 3
346,1 4 2 5 0
347,5 4 3 6 7
348,7 9 4 2 3
349,1 0 7 5 4
350,8 0 1 4 2
351,7 3 4 1 5
352,9 1 2 5 6
353,1 3 9 8 6
354,7 4 1 6 0
355,5 0 6 4 1
356,5 8 6 9 0
357,3 8 9 7 6
358,0 9 7 8 6
359,0 2 6 9 4
360,5 4 6 8 2
361,1 7 4 2 9
362,0 4 3 9 2
363,9 5 7 2 6
364,2 9 3 5 6
365,9 7 4 1 5
366,0 1 9 2 6
367,7 8 6 0 3
368,0 3 6 8 1
369,5 9 3 1 2
370,9 8 5 1 4
371,6 1 4 2 8
372,2 9 4 6 8
373,8 6 3 9 7
374,0 6 7 3 2
375,7 9 1 4 0
376,1 7 3 5 6
377,4 1 6 0 9
378,6 9 0 8 4
379,3 2 9 1 0
380,0 5 7 9 1
381,7 3 4 0 9
382,1 7 5 0 2
383,2 8 4 5 0
384,4 9 6 3 7
385,5 8 0 7 6
386,2 8 3 4 5
387,7 1 2 8 5
388,7 2 5 4 8
389,0 9 5 4 6
390,9 4 6 2 7
391,1 5 3 9 8
392,2 7 9 0 5
393,5 8 9 3 7
394,0 1 4 9 2
395,9 1 3 8 0
396,9 7 0 1 2
397,9 7 3 5 8
398,5 7 3 9 0
399,7 4 2 6 3
400,3 8 2 6 7
401,1 7 9 6 8
402,5 4 9 8 6
403,1 8 9 7 3
404,0 7 3 1 2
405,3 9 4 0 7
406,1 3 4 6 8
407,9 8 5 4 1
408,6 5 1 8 4
409,3 5 9 4 7
410,5 0 8 6 2
411,3 6 7 9 1
412,9 3 7 0 5
413,7 9 6 1 2
414,8 6 9 4 1
415,5 0 4 1 7
416,9 5 2 1 6
417,9 6 5 0 4
418,5 1 4 7 6
419,0 1 9 6 5
420,4 0 2 8 5
421,0 7 3 4 5
422,6 5 1 7 2
423,8 1 7 0 4
424,9 2 6 0 4
425,8 0 6 4 9
426,9 3 7 5 6
427,7 1 9 0 2
428,8 5 6 3 1
429,4 1 5 3 0
430,7 0 8 1 4
431,7 6 0 8 4
432,2 9 0 5 6
433,5 0 9 1 2
434,6 0 4 7 9
435,2 0 8 7 1
436,8 1 5 6 4
437,6 7 0 5 2
438,0 3 8 7 9
439,4 9 2 7 3
440,7 1 0 9 4
441,4 9 0 6 2
442,8 6 5 9 0
443,5 7 6 9 4
444,3 4 6 5 9
445,4 5 9 7 6
446,9 3 1 8 0
447,9 1 0 7 5
448,4 0 7 1 9
449,6 0 7 4 3
450,0 6 2 1 5
451,0 7 1 2 6
452,6 5 0 8 4
453,8 5 1 6 9
454,1 8 3 5 0
455,7 0 9 3 5
456,2 5 8 4 0
457,4 1 5 3 6
458,2 6 1 8 9
459,4 3 1 2 7
460,7 1 8 5 6
461,2 9 6 7 4
462,0 3 6 9 1
463,5 3 1 0 8
464,6 3 1 2 9
465,2 0 1 5 4
466,2 0 3 5 9
467,0 9 4 1 6
468,8 7 2 0 4
469,2 0 3 8 6
470,7 0 2 8 5
471,7 4 9 2 6
472,7 6 8 2 5
473,0 5 3 7 2
474,6 0 8 5 3
475,1 7 2 6 9
476,6 2 7 3 8
477,8 4 1 6 2
478,6 8 1 9 4
479,4 0 3 8 2
480,7 2 3 4 8
481,3 5 6 1 9
482,1 3 9 0 8
483,2 1 8 9 7
484,0 7 3 4 5
485,7 3 9 0 8
486,1 7 9 6 4
487,4 6 5 2 1
488,1 4 8 6 0
489,3 9 8 2 5
490,8 7 3 0 5
491,8 3 7 4 0
492,0 3 8 5 4
493,9 0 3 2 8
494,5 3 6 9 8
495,2 7 8 5 4
496,3 4 2 7 6
497,9 1 3 2 8
498,7 9 0 6 2
499,6 2 0 9 7
500,4 6 7 2 9
501,4 0 3 2 8
502,0 4 6 7 2
503,8 5 9 4 2
504,5 2 4 8 3
505,5 9 6 4 0
506,0 5 8 3 6
507,2 1 3 6 7
508,3 8 5 1 6
509,7 0 5 9 1
510,8 5 9 4 6
511,2 1 4 8 3
512,8 4 1 5 3
513,0 4 2 8 5
514,7 8 3 9 5
515,7 6 9 5 0
516,2 5 3 6 8
517,9 0 7 6 1
518,9 3 1 2 6
519,2 3 5 8 4
520,2 1 8 9 6
521,0 4 3 8 9
522,6 2 0 5 9
523,6 2 8 3 4
524,1 2 6 9 4
525,0 8 9 6 2
526,0 3 1 4 2
527,0 3 5 1 6
528,6 2 0 1 3
529,8 1 2 5 3
530,7 3 1 2 5
531,9 1 3 8 5
532,6 5 9 4 8
533,0 8 2 9 5
534,6 4 3 5 0
535,0 7 1 2 8
536,3 4 1 6 5
537,8 0 1 3 9
538,1 0 9 6 5
539,3 7 9 6 5
540,9 6 2 8 0
541,9 6 7 4 3
542,2 4 9 7 8
543,0 2 5 9 4
544,1 5 3 4 7
545,0 4 1 7 8
546,1 2 3 7 4
547,0 7 5 2 3
548,5 0 6 8 2
549,4 0 2 7 8
550,7 5 2 9 0
551,8 1 6 0 4
552,2 4 8 9 6
553,5 3 8 1 6
554,6 2 1 8 3
555,6 8 1 3 2
556,4 7 5 9 0
557,4 7 0 3 9
558,2 9 8 5 1
559,3 8 6 2 5
560,6 9 7 5 8
561,4 5 7 3 8
562,4 2 9 8 6
563,8 0 1 6 2
564,0 5 9 8 4
565,8 6 0 1 4
566,4 1 6 8 2
567,9 7 3 4 0
568,8 4 9 3 1
569,1 6 8 2 0
570,0 8 9 5 4
571,3 8 9 2 6
572,8 9 5 3 6
573,9 2 5 8 0
574,6 8 0 4 5
575,2 6 0 3 5
576,5 0 7 8 9
577,2 9 8 3 5
578,1 9 8 7 5
579,8 7 0 9 4
580,9 8 6 7 3
581,1 3 0 7 4
582,4 2 5 1 0
583,8 9 0 6 1
584,9 7 3 1 5
585,0 3 5 4 6
586,1 5 6 9 2
587,2 5 6 0 1
588,5 3 4 6 8
589,5 1 2 3 8
590,3 2 4 9 8
591,1 3 9 5 6
592,5 4 2 6 0
593,8 6 1 9 4
594,0 5 6 8 7
595,1 4 5 2 8
596,0 3 4 8 1
597,4 5 3 6 0
598,0 2 3 8 5
599,6 9 0 7 8
600,1 8 0 6 7
601,9 1 5 6 3
602,9 8 1 3 4
603,8 0 5 9 4
604,1 2 3 9 6
605,9 3 5 6 1
606,1 5 6 0 4
607,4 1 0 2 7
608,6 0 8 1 7
609,7 5 1 6 3
610,3 8 4 6 9
611,8 3 4 5 2
612,7 1 0 2 9
613,2 3 5 8 4
614,9 3 6 8 1
615,8 5 7 0 9
616,0 3 6 9 5
617,4 3 6 5 0
618,5 9 2 8 6
619,2 4 6 9 8
620,4 8 5 7 3
621,3 6 2 0 5
622,3 6 8 1 0
623,8 5 6 7 1
624,1 9 8 2 7
625,9 2 4 5 8
626,6 3 8 9 2
627,0 8 6 4 1
628,1 8 0 4 3
629,9 7 6 8 0
630,5 3 2 7 8
631,6 8 7 3 1
632,7 0 6 9 3
633,1 6 7 5 3
634,7 2 3 8 5
635,9 4 2 5 1
636,0 2 3 1 6
637,3 2 7 8 9
638,0 7 2 5 8
639,6 0 1 3 2
640,2 5 7 9 6
641,5 6 3 9 4
642,3 0 6 2 9
643,7 1 2 9 3
644,8 3 1 5 0
645,7 6 1 9 2
646,7 6 0 9 3
647,8 4 6 1 3
648,2 7 8 0 4
649,9 8 7 5 3
650,4 5 9 7 8
651,3 2 7 1 6
652,9 3 0 2 8
653,7 1 0 2 3
654,6 1 7 4 5
655,6 9 8 0 3
656,9 5 4 6 8
657,5 3 8 2 0
658,5 0 8 1 2
659,0 2 9 4 7
660,3 6 9 5 2
661,3 9 1 7 2
662,7 4 3 1 9
663,5 3 1 2 7
664,0 5 1 8 4
665,1 5 0 4 3
666,8 0 7 3 4
667,2 4 6 8 3
668,4 9 0 8 5
669,0 2 4 7 8
670,9 6 1 4 8
671,6 5 0 1 7
672,2 4 0 6 3
673,3 1 4 6 5
674,2 8 3 1 6
675,7 2 4 9 6
676,6 8 2 0 4
677,0 8 9 2 1
678,0 8 7 2 1
679,2 7 8 5 3
680,4 6 3 1 7
681,4 2 9 0 5
682,8 6 2 7 9
683,7 9 8 1 2
684,4 6 0 1 8
685,0 1 7 2 6
686,5 9 1 0 4
687,3 0 2 7 9
688,8 9 1 0 4
689,7 9 1 6 3
690,7 1 0 9 8
691,6 3 1 4 8
692,5 0 1 6 9
693,6 9 8 2 1
694,2 9 4 0 5
695,3 5 9 4 0
696,5 4 2 8 6
697,9 2 8 3 4
698,2 4 8 5 3
699,5 7 9 6 3
700,4 3 6 1 2
701,1 8 3 5 6
702,3 4 2 1 6
703,6 5 8 2 0
704,1 9 5 2 8
705,6 2 4 5 9
706,8 4 5 6 3
707,9 0 5 4 6
708,1 3 9 5 0
709,4 0 3 2 8
710,9 0 3 8 5
711,1 3 4 5 7
712,5 8 1 0 7
713,6 2 9 3 8
714,5 6 0 9 1
715,7 3 5 1 2
716,7 2 5 9 4
717,9 2 1 8 0
718,5 1 0 8 6
719,3 7 6 9 2
720,0 6 7 1 5
721,8 9 1 2 0
722,2 5 8 4 9
723,0 8 6 7 5
724,2 9 4 5 3
725,0 7 6 9 2
726,5 8 2 6 1
727,0 6 2 9 4
728,5 0 9 8 6
729,1 2 8 9 7
730,3 4 6 2 1
731,6 8 4 0 2
732,0 9 7 1 3
733,5 2 4 0 6
734,4 1 5 2 6
735,2 7 3 6 4
736,3 7 4 5 2
737,8 1 3 7 0
738,8 7 0 9 4
739,9 5 2 3 6
740,0 1 7 5 3
741,1 9 8 0 3
742,6 5 1 2 0
743,0 8 4 6 9
744,9 7 2 4 3
745,3 9 7 6 2
746,1 6 2 3 7
747,0 8 3 6 9
748,2 8 3 6 9
749,7 0 1 5 3
750,4 5 1 7 6
751,4 2 7 8 9
752,3 8 5 9 2
753,3 1 0 2 7
754,4 1 6 3 9
755,2 5 0 6 8
756,4 8 1 6 5
757,7 4 0 6 8
758,1 8 4 7 9
759,6 9 5 4 0
760,9 1 5 2 3
761,4 3 9 2 1
762,5 2 7 1 6
763,3 0 5 2 9
764,3 5 6 8 4
765,0 6 5 3 8
766,2 8 1 0 5
767,0 8 7 1 5
768,8 5 2 1 3
769,6 0 9 4 1
770,1 5 3 9 7
771,1 9 2 0 5
772,5 1 2 6 3
773,4 5 1 2 0
774,3 8 1 9 4
775,8 2 6 1 5
776,5 9 4 8 0
777,9 4 2 8 0
778,9 8 5 4 2
779,8 5 3 9 2
780,7 5 3 0 6
781,3 2 8 1 7
782,6 8 9 3 4
783,5 7 3 4 1
784,5 1 2 0 9
785,8 2 0 5 1
786,5 9 7 6 4
787,9 4 1 6 8
788,8 0 6 2 5
789,5 2 6 0 1
790,9 8 6 4 1
791,6 8 7 9 0
792,3 9 4 1 0
793,8 9 0 4 3
794,1 9 3 0 6
795,0 6 2 1 5
796,3 5 7 9 0
797,6 7 9 5 0
798,2 3 7 0 9
799,1 0 8 3 2
800,7 3 8 1 6
801,2 6 9 1 5
802,8 9 7 1 6
803,3 8 6 5 7
804,4 9 1 2 8
805,9 1 7 8 6
806,1 6 2 5 4
807,5 6 2 7 0
808,9 3 4 7 6
809,6 2 5 3 8
810,5 9 1 6 3
811,2 7 8 3 9
812,8 0 5 9 2
813,3 7 6 5 8
814,5 8 6 3 7
815,4 8 1 2 7
816,2 8 4 1 0
817,6 3 9 1 0
818,9 1 5 0 8
819,3 2 4 7 8
820,5 1 9 6 2
821,0 2 6 1 8
822,9 6 5 0 8
823,6 3 1 5 0
824,8 3 6 9 5
825,7 5 4 6 0
826,6 5 2 3 1
827,3 0 2 9 6
828,4 5 0 9 6
829,6 1 9 2 7
830,2 6 0 1 4
831,3 7 1 4 6
832,9 6 7 4 0
833,6 0 2 7 8
834,6 5 2 1 3
835,6 2 9 5 0
836,9 7 3 1 4
837,5 3 9 4 7
838,3 0 7 2 4
839,1 7 9 5 8
840,1 4 8 5 0
841,7 2 1 4 9
842,1 3 5 7 8
843,2 6 3 1 8
844,1 4 6 8 7
845,0 3 9 8 2
846,2 7 5 4 0
847,9 5 0 4 7
848,3 9 1 2 7
849,1 7 5 3 4
850,3 4 2 6 0
851,9 5 0 6 3
852,4 1 5 3 8
853,3 5 2 7 6
854,9 4 7 3 2
855,7 4 2 6 1
856,1 7 8 2 5
857,9 7 8 5 3
858,3 4 5 1 0
859,9 4 1 0 5
860,3 2 6 1 8
861,4 0 7 3 5
862,3 0 9 1 2
863,5 9 8 1 2
864,3 8 6 5 4
865,9 0 5 6 4
866,3 1 4 6 9
867,7 6 2 5 0
868,4 0 8 5 1
869,6 3 2 9 8
870,1 7 8 6 4
871,4 9 3 6 5
872,8 9 6 3 1
873,1 7 5 9 8
874,4 8 7 9 1
875,2 9 7 1 5
876,8 5 3 4 7
877,2 9 7 1 8
878,1 3 2 6 8
879,5 4 3 6 8
880,3 6 2 8 7
881,3 2 1 4 5
882,8 1 0 2 9
883,7 3 6 1 4
884,0 9 2 6 7
885,6 9 2 7 4
886,0 1 3 6 7
887,2 4 6 9 0
888,9 4 3 5 7
889,9 3 1 5 7
890,2 5 4 3 9
891,1 3 9 0 5
892,0 7 5 2 8
893,2 6 3 5 7
894,0 1 2 5 3
895,1 5 6 2 0
896,1 4 5 9 8
897,6 7 2 4 5
898,2 1 8 3 5
899,6 3 7 0 2
900,2 1 5 0 7
901,6 5 7 3 0
902,3 7 8 5 9
903,4 3 0 7 8
904,2 9 6 1 0
905,2 3 6 0 1
906,1 0 7 8 6
907,5 8 2 7 0
908,7 5 8 0 6
909,1 4 9 7 3
910,4 8 2 6 0
911,8 4 1 5 6
912,1 9 2 7 3
913,4 8 5 3 1
914,3 0 5 1 8
915,6 7 4 1 5
916,2 4 6 9 5
917,7 0 5 4 3
918,9 6 0 1 3
919,0 4 2 7 9
920,9 5 3 8 2
921,5 4 9 6 0
922,0 9 1 2 3
923,9 0 5 3 6
924,4 7 9 1 8
925,9 7 4 1 8
926,9 3 2 8 4
927,3 5 4 8 2
928,7 3 9 4 8
929,4 3 5 7 0
930,5 2 9 8 7
931,8 6 2 4 3
932,1 9 7 2 8
933,7 6 0 8 5
934,5 3 4 1 2
935,7 9 0 3 8
936,0 8 9 7 5
937,1 3 0 9 7
938,8 2 3 9 0
939,9 0 3 7 8
940,5 3 7 1 6
941,4 3 9 6 8
942,2 7 8 4 0
943,6 4 5 3 1
944,8 1 5 6 3
945,0 6 9 3 8
946,0 1 2 9 6
947,4 6 1 2 8
948,6 3 0 2 8
949,7 8 2 4 1
950,2 9 4 5 6
951,7 5 9 4 8
952,7 6 3 0 2
953,8 7 4 6 3
954,3 4 1 8 5
955,7 3 5 2 6
956,3 6 9 8 7
957,4 2 8 6 5
958,2 6 4 7 9
959,5 6 2 7 9
960,9 6 5 2 1
961,1 5 6 3 4
962,7 3 2 4 1
963,2 1 8 4 5
964,8 7 2 5 3
965,7 9 5 8 2
966,2 5 1 7 9
967,2 0 4 9 8
968,7 3 9 8 6
969,5 4 3 1 9
970,1 8 6 9 4
971,4 9 0 2 1
972,0 4 6 5 8
973,4 3 2 8 6
974,5 6 7 2 1
975,7 9 3 2 4
976,3 6 5 1 2
977,9 3 0 8 7
978,6 4 9 3 2
979,3 6 8 4 9
980,3 1 6 4 9
981,9 7 4 2 5
982,7 2 5 9 3
983,7 5 9 2 8
984,6 3 5 9 8
985,9 4 8 5 3
986,8 9 2 1 6
987,6 9 8 1 3
988,7 9 0 3 6
989,3 4 8 2 5
990,2 1 3 6 0
991,6 9 1 3 8
992,3 6 2 5 8
993,6 3 0 8 5
994,9 3 2 7 1
995,9 0 7 6 3
996,2 4 7 3 0
997,8 9 1 6 7
998,6 1 0 3 9
999,3 6 7 5 9
