Round,NumSelected,DownBytes,UpBytes,TotalBytes,CumulativeBytes
249,5,70680,70680,141360,35340000
250,5,70680,70680,141360,35481360
251,5,70680,70680,141360,35622720
252,5,70680,70680,141360,35764080
253,5,70680,70680,141360,35905440
254,5,70680,70680,141360,36046800
255,5,70680,70680,141360,36188160
256,5,70680,70680,141360,36329520
257,5,70680,70680,141360,36470880
258,5,70680,70680,141360,36612240
259,5,70680,70680,141360,36753600
260,5,70680,70680,141360,36894960
261,5,70680,70680,141360,37036320
262,5,70680,70680,141360,37177680
263,5,70680,70680,141360,37319040
264,5,70680,70680,141360,37460400
265,5,70680,70680,141360,37601760
266,5,70680,70680,141360,37743120
267,5,70680,70680,141360,37884480
268,5,70680,70680,141360,38025840
269,5,70680,70680,141360,38167200
270,5,70680,70680,141360,38308560
271,5,70680,70680,141360,38449920
272,5,70680,70680,141360,38591280
273,5,70680,70680,141360,38732640
274,5,70680,70680,141360,38874000
275,5,70680,70680,141360,39015360
276,5,70680,70680,141360,39156720
277,5,70680,70680,141360,39298080
278,5,70680,70680,141360,39439440
279,5,70680,70680,141360,39580800
280,5,70680,70680,141360,39722160
281,5,70680,70680,141360,39863520
282,5,70680,70680,141360,40004880
283,5,70680,70680,141360,40146240
284,5,70680,70680,141360,40287600
285,5,70680,70680,141360,40428960
286,5,70680,70680,141360,40570320
287,5,70680,70680,141360,40711680
288,5,70680,70680,141360,40853040
289,5,70680,70680,141360,40994400
290,5,70680,70680,141360,41135760
291,5,70680,70680,141360,41277120
292,5,70680,70680,141360,41418480
293,5,70680,70680,141360,41559840
294,5,70680,70680,141360,41701200
295,5,70680,70680,141360,41842560
296,5,70680,70680,141360,41983920
297,5,70680,70680,141360,42125280
298,5,70680,70680,141360,42266640
299,5,70680,70680,141360,42408000
300,5,70680,70680,141360,42549360
301,5,70680,70680,141360,42690720
302,5,70680,70680,141360,42832080
303,5,70680,70680,141360,42973440
304,5,70680,70680,141360,43114800
305,5,70680,70680,141360,43256160
306,5,70680,70680,141360,43397520
307,5,70680,70680,141360,43538880
308,5,70680,70680,141360,43680240
309,5,70680,70680,141360,43821600
310,5,70680,70680,141360,43962960
311,5,70680,70680,141360,44104320
312,5,70680,70680,141360,44245680
313,5,70680,70680,141360,44387040
314,5,70680,70680,141360,44528400
315,5,70680,70680,141360,44669760
316,5,70680,70680,141360,44811120
317,5,70680,70680,141360,44952480
318,5,70680,70680,141360,45093840
319,5,70680,70680,141360,45235200
320,5,70680,70680,141360,45376560
321,5,70680,70680,141360,45517920
322,5,70680,70680,141360,45659280
323,5,70680,70680,141360,45800640
324,5,70680,70680,141360,45942000
325,5,70680,70680,141360,46083360
326,5,70680,70680,141360,46224720
327,5,70680,70680,141360,46366080
328,5,70680,70680,141360,46507440
329,5,70680,70680,141360,46648800
330,5,70680,70680,141360,46790160
331,5,70680,70680,141360,46931520
332,5,70680,70680,141360,47072880
333,5,70680,70680,141360,47214240
334,5,70680,70680,141360,47355600
335,5,70680,70680,141360,47496960
336,5,70680,70680,141360,47638320
337,5,70680,70680,141360,47779680
338,5,70680,70680,141360,47921040
339,5,70680,70680,141360,48062400
340,5,70680,70680,141360,48203760
341,5,70680,70680,141360,48345120
342,5,70680,70680,141360,48486480
343,5,70680,70680,141360,48627840
344,5,70680,70680,141360,48769200
345,5,70680,70680,141360,48910560
346,5,70680,70680,141360,49051920
347,5,70680,70680,141360,49193280
348,5,70680,70680,141360,49334640
349,5,70680,70680,141360,49476000
350,5,70680,70680,141360,49617360
351,5,70680,70680,141360,49758720
352,5,70680,70680,141360,49900080
353,5,70680,70680,141360,50041440
354,5,70680,70680,141360,50182800
355,5,70680,70680,141360,50324160
356,5,70680,70680,141360,50465520
357,5,70680,70680,141360,50606880
358,5,70680,70680,141360,50748240
359,5,70680,70680,141360,50889600
360,5,70680,70680,141360,51030960
361,5,70680,70680,141360,51172320
362,5,70680,70680,141360,51313680
363,5,70680,70680,141360,51455040
364,5,70680,70680,141360,51596400
365,5,70680,70680,141360,51737760
366,5,70680,70680,141360,51879120
367,5,70680,70680,141360,52020480
368,5,70680,70680,141360,52161840
369,5,70680,70680,141360,52303200
370,5,70680,70680,141360,52444560
371,5,70680,70680,141360,52585920
372,5,70680,70680,141360,52727280
373,5,70680,70680,141360,52868640
374,5,70680,70680,141360,53010000
375,5,70680,70680,141360,53151360
376,5,70680,70680,141360,53292720
377,5,70680,70680,141360,53434080
378,5,70680,70680,141360,53575440
379,5,70680,70680,141360,53716800
380,5,70680,70680,141360,53858160
381,5,70680,70680,141360,53999520
382,5,70680,70680,141360,54140880
383,5,70680,70680,141360,54282240
384,5,70680,70680,141360,54423600
385,5,70680,70680,141360,54564960
386,5,70680,70680,141360,54706320
387,5,70680,70680,141360,54847680
388,5,70680,70680,141360,54989040
389,5,70680,70680,141360,55130400
390,5,70680,70680,141360,55271760
391,5,70680,70680,141360,55413120
392,5,70680,70680,141360,55554480
393,5,70680,70680,141360,55695840
394,5,70680,70680,141360,55837200
395,5,70680,70680,141360,55978560
396,5,70680,70680,141360,56119920
397,5,70680,70680,141360,56261280
398,5,70680,70680,141360,56402640
399,5,70680,70680,141360,56544000
400,5,70680,70680,141360,56685360
401,5,70680,70680,141360,56826720
402,5,70680,70680,141360,56968080
403,5,70680,70680,141360,57109440
404,5,70680,70680,141360,57250800
405,5,70680,70680,141360,57392160
406,5,70680,70680,141360,57533520
407,5,70680,70680,141360,57674880
408,5,70680,70680,141360,57816240
409,5,70680,70680,141360,57957600
410,5,70680,70680,141360,58098960
411,5,70680,70680,141360,58240320
412,5,70680,70680,141360,58381680
413,5,70680,70680,141360,58523040
414,5,70680,70680,141360,58664400
415,5,70680,70680,141360,58805760
416,5,70680,70680,141360,58947120
417,5,70680,70680,141360,59088480
418,5,70680,70680,141360,59229840
419,5,70680,70680,141360,59371200
420,5,70680,70680,141360,59512560
421,5,70680,70680,141360,59653920
422,5,70680,70680,141360,59795280
423,5,70680,70680,141360,59936640
424,5,70680,70680,141360,60078000
425,5,70680,70680,141360,60219360
426,5,70680,70680,141360,60360720
427,5,70680,70680,141360,60502080
428,5,70680,70680,141360,60643440
429,5,70680,70680,141360,60784800
430,5,70680,70680,141360,60926160
431,5,70680,70680,141360,61067520
432,5,70680,70680,141360,61208880
433,5,70680,70680,141360,61350240
434,5,70680,70680,141360,61491600
435,5,70680,70680,141360,61632960
436,5,70680,70680,141360,61774320
437,5,70680,70680,141360,61915680
438,5,70680,70680,141360,62057040
439,5,70680,70680,141360,62198400
440,5,70680,70680,141360,62339760
441,5,70680,70680,141360,62481120
442,5,70680,70680,141360,62622480
443,5,70680,70680,141360,62763840
444,5,70680,70680,141360,62905200
445,5,70680,70680,141360,63046560
446,5,70680,70680,141360,63187920
447,5,70680,70680,141360,63329280
448,5,70680,70680,141360,63470640
449,5,70680,70680,141360,63612000
450,5,70680,70680,141360,63753360
451,5,70680,70680,141360,63894720
452,5,70680,70680,141360,64036080
453,5,70680,70680,141360,64177440
454,5,70680,70680,141360,64318800
455,5,70680,70680,141360,64460160
456,5,70680,70680,141360,64601520
457,5,70680,70680,141360,64742880
458,5,70680,70680,141360,64884240
459,5,70680,70680,141360,65025600
460,5,70680,70680,141360,65166960
461,5,70680,70680,141360,65308320
462,5,70680,70680,141360,65449680
463,5,70680,70680,141360,65591040
464,5,70680,70680,141360,65732400
465,5,70680,70680,141360,65873760
466,5,70680,70680,141360,66015120
467,5,70680,70680,141360,66156480
468,5,70680,70680,141360,66297840
469,5,70680,70680,141360,66439200
470,5,70680,70680,141360,66580560
471,5,70680,70680,141360,66721920
472,5,70680,70680,141360,66863280
473,5,70680,70680,141360,67004640
474,5,70680,70680,141360,67146000
475,5,70680,70680,141360,67287360
476,5,70680,70680,141360,67428720
477,5,70680,70680,141360,67570080
478,5,70680,70680,141360,67711440
479,5,70680,70680,141360,67852800
480,5,70680,70680,141360,67994160
481,5,70680,70680,141360,68135520
482,5,70680,70680,141360,68276880
483,5,70680,70680,141360,68418240
484,5,70680,70680,141360,68559600
485,5,70680,70680,141360,68700960
486,5,70680,70680,141360,68842320
487,5,70680,70680,141360,68983680
488,5,70680,70680,141360,69125040
489,5,70680,70680,141360,69266400
490,5,70680,70680,141360,69407760
491,5,70680,70680,141360,69549120
492,5,70680,70680,141360,69690480
493,5,70680,70680,141360,69831840
494,5,70680,70680,141360,69973200
495,5,70680,70680,141360,70114560
496,5,70680,70680,141360,70255920
497,5,70680,70680,141360,70397280
498,5,70680,70680,141360,70538640
499,5,70680,70680,141360,70680000
500,5,70680,70680,141360,70821360
501,5,70680,70680,141360,70962720
502,5,70680,70680,141360,71104080
503,5,70680,70680,141360,71245440
504,5,70680,70680,141360,71386800
505,5,70680,70680,141360,71528160
506,5,70680,70680,141360,71669520
507,5,70680,70680,141360,71810880
508,5,70680,70680,141360,71952240
509,5,70680,70680,141360,72093600
510,5,70680,70680,141360,72234960
511,5,70680,70680,141360,72376320
512,5,70680,70680,141360,72517680
513,5,70680,70680,141360,72659040
514,5,70680,70680,141360,72800400
515,5,70680,70680,141360,72941760
516,5,70680,70680,141360,73083120
517,5,70680,70680,141360,73224480
518,5,70680,70680,141360,73365840
519,5,70680,70680,141360,73507200
520,5,70680,70680,141360,73648560
521,5,70680,70680,141360,73789920
522,5,70680,70680,141360,73931280
523,5,70680,70680,141360,74072640
524,5,70680,70680,141360,74214000
525,5,70680,70680,141360,74355360
526,5,70680,70680,141360,74496720
527,5,70680,70680,141360,74638080
528,5,70680,70680,141360,74779440
529,5,70680,70680,141360,74920800
530,5,70680,70680,141360,75062160
531,5,70680,70680,141360,75203520
532,5,70680,70680,141360,75344880
533,5,70680,70680,141360,75486240
534,5,70680,70680,141360,75627600
535,5,70680,70680,141360,75768960
536,5,70680,70680,141360,75910320
537,5,70680,70680,141360,76051680
538,5,70680,70680,141360,76193040
539,5,70680,70680,141360,76334400
540,5,70680,70680,141360,76475760
541,5,70680,70680,141360,76617120
542,5,70680,70680,141360,76758480
543,5,70680,70680,141360,76899840
544,5,70680,70680,141360,77041200
545,5,70680,70680,141360,77182560
546,5,70680,70680,141360,77323920
547,5,70680,70680,141360,77465280
548,5,70680,70680,141360,77606640
549,5,70680,70680,141360,77748000
550,5,70680,70680,141360,77889360
551,5,70680,70680,141360,78030720
552,5,70680,70680,141360,78172080
553,5,70680,70680,141360,78313440
554,5,70680,70680,141360,78454800
555,5,70680,70680,141360,78596160
556,5,70680,70680,141360,78737520
557,5,70680,70680,141360,78878880
558,5,70680,70680,141360,79020240
559,5,70680,70680,141360,79161600
560,5,70680,70680,141360,79302960
561,5,70680,70680,141360,79444320
562,5,70680,70680,141360,79585680
563,5,70680,70680,141360,79727040
564,5,70680,70680,141360,79868400
565,5,70680,70680,141360,80009760
566,5,70680,70680,141360,80151120
567,5,70680,70680,141360,80292480
568,5,70680,70680,141360,80433840
569,5,70680,70680,141360,80575200
570,5,70680,70680,141360,80716560
571,5,70680,70680,141360,80857920
572,5,70680,70680,141360,80999280
573,5,70680,70680,141360,81140640
574,5,70680,70680,141360,81282000
575,5,70680,70680,141360,81423360
576,5,70680,70680,141360,81564720
577,5,70680,70680,141360,81706080
578,5,70680,70680,141360,81847440
579,5,70680,70680,141360,81988800
580,5,70680,70680,141360,82130160
581,5,70680,70680,141360,82271520
582,5,70680,70680,141360,82412880
583,5,70680,70680,141360,82554240
584,5,70680,70680,141360,82695600
585,5,70680,70680,141360,82836960
586,5,70680,70680,141360,82978320
587,5,70680,70680,141360,83119680
588,5,70680,70680,141360,83261040
589,5,70680,70680,141360,83402400
590,5,70680,70680,141360,83543760
591,5,70680,70680,141360,83685120
592,5,70680,70680,141360,83826480
593,5,70680,70680,141360,83967840
594,5,70680,70680,141360,84109200
595,5,70680,70680,141360,84250560
596,5,70680,70680,141360,84391920
597,5,70680,70680,141360,84533280
598,5,70680,70680,141360,84674640
599,5,70680,70680,141360,84816000
600,5,70680,70680,141360,84957360
601,5,70680,70680,141360,85098720
602,5,70680,70680,141360,85240080
603,5,70680,70680,141360,85381440
604,5,70680,70680,141360,85522800
605,5,70680,70680,141360,85664160
606,5,70680,70680,141360,85805520
607,5,70680,70680,141360,85946880
608,5,70680,70680,141360,86088240
609,5,70680,70680,141360,86229600
610,5,70680,70680,141360,86370960
611,5,70680,70680,141360,86512320
612,5,70680,70680,141360,86653680
613,5,70680,70680,141360,86795040
614,5,70680,70680,141360,86936400
615,5,70680,70680,141360,87077760
616,5,70680,70680,141360,87219120
617,5,70680,70680,141360,87360480
618,5,70680,70680,141360,87501840
619,5,70680,70680,141360,87643200
620,5,70680,70680,141360,87784560
621,5,70680,70680,141360,87925920
622,5,70680,70680,141360,88067280
623,5,70680,70680,141360,88208640
624,5,70680,70680,141360,88350000
625,5,70680,70680,141360,88491360
626,5,70680,70680,141360,88632720
627,5,70680,70680,141360,88774080
628,5,70680,70680,141360,88915440
629,5,70680,70680,141360,89056800
630,5,70680,70680,141360,89198160
631,5,70680,70680,141360,89339520
632,5,70680,70680,141360,89480880
633,5,70680,70680,141360,89622240
634,5,70680,70680,141360,89763600
635,5,70680,70680,141360,89904960
636,5,70680,70680,141360,90046320
637,5,70680,70680,141360,90187680
638,5,70680,70680,141360,90329040
639,5,70680,70680,141360,90470400
640,5,70680,70680,141360,90611760
641,5,70680,70680,141360,90753120
642,5,70680,70680,141360,90894480
643,5,70680,70680,141360,91035840
644,5,70680,70680,141360,91177200
645,5,70680,70680,141360,91318560
646,5,70680,70680,141360,91459920
647,5,70680,70680,141360,91601280
648,5,70680,70680,141360,91742640
649,5,70680,70680,141360,91884000
650,5,70680,70680,141360,92025360
651,5,70680,70680,141360,92166720
652,5,70680,70680,141360,92308080
653,5,70680,70680,141360,92449440
654,5,70680,70680,141360,92590800
655,5,70680,70680,141360,92732160
656,5,70680,70680,141360,92873520
657,5,70680,70680,141360,93014880
658,5,70680,70680,141360,93156240
659,5,70680,70680,141360,93297600
660,5,70680,70680,141360,93438960
661,5,70680,70680,141360,93580320
662,5,70680,70680,141360,93721680
663,5,70680,70680,141360,93863040
664,5,70680,70680,141360,94004400
665,5,70680,70680,141360,94145760
666,5,70680,70680,141360,94287120
667,5,70680,70680,141360,94428480
668,5,70680,70680,141360,94569840
669,5,70680,70680,141360,94711200
670,5,70680,70680,141360,94852560
671,5,70680,70680,141360,94993920
672,5,70680,70680,141360,95135280
673,5,70680,70680,141360,95276640
674,5,70680,70680,141360,95418000
675,5,70680,70680,141360,95559360
676,5,70680,70680,141360,95700720
677,5,70680,70680,141360,95842080
678,5,70680,70680,141360,95983440
679,5,70680,70680,141360,96124800
680,5,70680,70680,141360,96266160
681,5,70680,70680,141360,96407520
682,5,70680,70680,141360,96548880
683,5,70680,70680,141360,96690240
684,5,70680,70680,141360,96831600
685,5,70680,70680,141360,96972960
686,5,70680,70680,141360,97114320
687,5,70680,70680,141360,97255680
688,5,70680,70680,141360,97397040
689,5,70680,70680,141360,97538400
690,5,70680,70680,141360,97679760
691,5,70680,70680,141360,97821120
692,5,70680,70680,141360,97962480
693,5,70680,70680,141360,98103840
694,5,70680,70680,141360,98245200
695,5,70680,70680,141360,98386560
696,5,70680,70680,141360,98527920
697,5,70680,70680,141360,98669280
698,5,70680,70680,141360,98810640
699,5,70680,70680,141360,98952000
700,5,70680,70680,141360,99093360
701,5,70680,70680,141360,99234720
702,5,70680,70680,141360,99376080
703,5,70680,70680,141360,99517440
704,5,70680,70680,141360,99658800
705,5,70680,70680,141360,99800160
706,5,70680,70680,141360,99941520
707,5,70680,70680,141360,100082880
708,5,70680,70680,141360,100224240
709,5,70680,70680,141360,100365600
710,5,70680,70680,141360,100506960
711,5,70680,70680,141360,100648320
712,5,70680,70680,141360,100789680
713,5,70680,70680,141360,100931040
714,5,70680,70680,141360,101072400
715,5,70680,70680,141360,101213760
716,5,70680,70680,141360,101355120
717,5,70680,70680,141360,101496480
718,5,70680,70680,141360,101637840
719,5,70680,70680,141360,101779200
720,5,70680,70680,141360,101920560
721,5,70680,70680,141360,102061920
722,5,70680,70680,141360,102203280
723,5,70680,70680,141360,102344640
724,5,70680,70680,141360,102486000
725,5,70680,70680,141360,102627360
726,5,70680,70680,141360,102768720
727,5,70680,70680,141360,102910080
728,5,70680,70680,141360,103051440
729,5,70680,70680,141360,103192800
730,5,70680,70680,141360,103334160
731,5,70680,70680,141360,103475520
732,5,70680,70680,141360,103616880
733,5,70680,70680,141360,103758240
734,5,70680,70680,141360,103899600
735,5,70680,70680,141360,104040960
736,5,70680,70680,141360,104182320
737,5,70680,70680,141360,104323680
738,5,70680,70680,141360,104465040
739,5,70680,70680,141360,104606400
740,5,70680,70680,141360,104747760
741,5,70680,70680,141360,104889120
742,5,70680,70680,141360,105030480
743,5,70680,70680,141360,105171840
744,5,70680,70680,141360,105313200
745,5,70680,70680,141360,105454560
746,5,70680,70680,141360,105595920
747,5,70680,70680,141360,105737280
748,5,70680,70680,141360,105878640
749,5,70680,70680,141360,106020000
750,5,70680,70680,141360,106161360
751,5,70680,70680,141360,106302720
752,5,70680,70680,141360,106444080
753,5,70680,70680,141360,106585440
754,5,70680,70680,141360,106726800
755,5,70680,70680,141360,106868160
756,5,70680,70680,141360,107009520
757,5,70680,70680,141360,107150880
758,5,70680,70680,141360,107292240
759,5,70680,70680,141360,107433600
760,5,70680,70680,141360,107574960
761,5,70680,70680,141360,107716320
762,5,70680,70680,141360,107857680
763,5,70680,70680,141360,107999040
764,5,70680,70680,141360,108140400
765,5,70680,70680,141360,108281760
766,5,70680,70680,141360,108423120
767,5,70680,70680,141360,108564480
768,5,70680,70680,141360,108705840
769,5,70680,70680,141360,108847200
770,5,70680,70680,141360,108988560
771,5,70680,70680,141360,109129920
772,5,70680,70680,141360,109271280
773,5,70680,70680,141360,109412640
774,5,70680,70680,141360,109554000
775,5,70680,70680,141360,109695360
776,5,70680,70680,141360,109836720
777,5,70680,70680,141360,109978080
778,5,70680,70680,141360,110119440
779,5,70680,70680,141360,110260800
780,5,70680,70680,141360,110402160
781,5,70680,70680,141360,110543520
782,5,70680,70680,141360,110684880
783,5,70680,70680,141360,110826240
784,5,70680,70680,141360,110967600
785,5,70680,70680,141360,111108960
786,5,70680,70680,141360,111250320
787,5,70680,70680,141360,111391680
788,5,70680,70680,141360,111533040
789,5,70680,70680,141360,111674400
790,5,70680,70680,141360,111815760
791,5,70680,70680,141360,111957120
792,5,70680,70680,141360,112098480
793,5,70680,70680,141360,112239840
794,5,70680,70680,141360,112381200
795,5,70680,70680,141360,112522560
796,5,70680,70680,141360,112663920
797,5,70680,70680,141360,112805280
798,5,70680,70680,141360,112946640
799,5,70680,70680,141360,113088000
800,5,70680,70680,141360,113229360
801,5,70680,70680,141360,113370720
802,5,70680,70680,141360,113512080
803,5,70680,70680,141360,113653440
804,5,70680,70680,141360,113794800
805,5,70680,70680,141360,113936160
806,5,70680,70680,141360,114077520
807,5,70680,70680,141360,114218880
808,5,70680,70680,141360,114360240
809,5,70680,70680,141360,114501600
810,5,70680,70680,141360,114642960
811,5,70680,70680,141360,114784320
812,5,70680,70680,141360,114925680
813,5,70680,70680,141360,115067040
814,5,70680,70680,141360,115208400
815,5,70680,70680,141360,115349760
816,5,70680,70680,141360,115491120
817,5,70680,70680,141360,115632480
818,5,70680,70680,141360,115773840
